PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,"800 Lancaster Ave, Villanova, PA 19085",,,,,,,,,,
Solar Resource Data Location,"NSRDB Lat/Lng: 40.05, -75.34",,,,,,,,,,
Latitude (degrees),40.05,,,,,,,,,,
Longitude (degrees),-75.34,,,,,,,,,,
Elevation (m),101.5199966,,,,,,,,,,
DC System Size (kW),1,,,,,,,,,,
Module Type,Premium,,,,,,,,,,
Array Type,Fixed (open rack),,,,,,,,,,
Array Tilt (deg),20,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,Yes (0.7),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,11,20,0,0,-5,0.3,0.11,0,-5,0,0
1,11,21,0,0,-5,0.3,0.11,0,-5,0,0
1,11,22,0,0,-5,0.3,0.11,0,-5,0,0
1,11,23,0,0,-5,0.4,0.11,0,-5,0,0
1,12,0,0,0,-5,0.4,0.11,0,-5,0,0
1,12,1,0,0,-6,0.4,0.11,0,-6,0,0
1,12,2,0,0,-7,0.5,0.11,0,-7,0,0
1,12,3,0,0,-7,0.6,0.11,0,-7,0,0
1,12,4,0,0,-7,0.7,0.11,0,-7,0,0
1,12,5,0,0,-7,0.7,0.11,0,-7,0,0
1,12,6,0,0,-7,0.7,0.11,0,-7,0,0
1,12,7,0,0,-6,0.8,0.11,0,0,0,0
1,12,8,0,30,-4,0.9,0.11,28.897,-3.144,24.397,19.569
1,12,9,0,95,-2,1.1,0.11,95.15,0.696,84.117,77.173
1,12,10,692,111,0,1.2,0.11,620.394,17.429,552.635,529.09
1,12,11,744,116,0,1.3,0.11,715.485,19.622,631.493,605.153
1,12,12,754,117,0,1.4,0.11,731.883,19.606,645.816,618.969
1,12,13,763,101,0,1.4,0.11,680.015,18.235,604.384,579.004
1,12,14,704,87,0,1.3,0.11,543.154,14.923,488.859,467.574
1,12,15,585,62,-1,1.2,0.11,344.134,8.683,305.323,290.54
1,12,16,257,25,-2,1.1,0.11,99.496,0.292,50.318,44.571
1,12,17,0,0,-3,1.1,0.11,0,-3,0,0
1,12,18,0,0,-3,1.1,0.11,0,-3,0,0
1,12,19,0,0,-4,1,0.11,0,-4,0,0
1,12,20,0,0,-5,0.9,0.11,0,-5,0,0
1,12,21,0,0,-5,0.9,0.11,0,-5,0,0
1,12,22,0,0,-6,0.9,0.11,0,-6,0,0
1,12,23,0,0,-6,0.8,0.11,0,-6,0,0
1,13,0,0,0,-6,0.8,0.11,0,-6,0,0
1,13,1,0,0,-6,0.7,0.11,0,-6,0,0
1,13,2,0,0,-6,0.7,0.11,0,-6,0,0
1,13,3,0,0,-6,0.7,0.11,0,-6,0,0
1,13,4,0,0,-6,0.6,0.11,0,-6,0,0
1,13,5,0,0,-6,0.6,0.11,0,-6,0,0
1,13,6,0,0,-6,0.5,0.11,0,-6,0,0
1,13,7,0,0,-5,0.6,0.11,0,0,0,0
1,13,8,0,36,-3,0.9,0.11,34.702,-1.972,29.375,24.371
1,13,9,49,123,-1,1.1,0.11,160.733,3.577,143.724,134.668
1,13,10,38,165,0,1.2,0.11,204.499,5.67,181.937,171.527
1,13,11,3,158,0,1.2,0.11,161.91,4.469,142.649,133.631
1,13,12,29,188,0,1.2,0.11,225.015,6.227,199.328,188.302
1,13,13,2,148,1,1.2,0.11,151.058,5.172,132.738,124.071
1,13,14,784,68,0,1,0.11,568.336,16.822,509.17,487.164
1,13,15,89,87,0,0.7,0.11,140.143,4.44,123.133,114.807
1,13,16,8,24,-2,0.6,0.11,27.621,-1.249,14.771,10.284
1,13,17,0,0,-3,0.6,0.11,0,-3,0,0
1,13,18,0,0,-3,0.5,0.11,0,-3,0,0
1,13,19,0,0,-4,0.5,0.11,0,-4,0,0
1,13,20,0,0,-4,0.5,0.11,0,-4,0,0
1,13,21,0,0,-5,0.5,0.11,0,-5,0,0
1,13,22,0,0,-5,0.5,0.11,0,-5,0,0
1,13,23,0,0,-5,0.6,0.11,0,-5,0,0
1,14,0,0,0,-5,0.6,0.11,0,-5,0,0
1,14,1,0,0,-5,0.6,0.11,0,-5,0,0
1,14,2,0,0,-5,0.5,0.11,0,-5,0,0
1,14,3,0,0,-6,0.5,0.11,0,-6,0,0
1,14,4,0,0,-6,0.4,0.11,0,-6,0,0
1,14,5,0,0,-6,0.4,0.11,0,-6,0,0
1,14,6,0,0,-6,0.4,0.11,0,-6,0,0
1,14,7,0,0,-4,0.4,0.11,0,0,0,0
1,14,8,495,51,-1,0.4,0.11,260.536,8.043,222.498,210.65
1,14,9,684,74,1,0.4,0.11,484.343,17.912,430.882,411.651
1,14,10,775,85,3,0.4,0.11,645.667,25.498,560.017,536.21
1,14,11,818,90,4,0.4,0.11,739.811,29.772,630.645,604.335
1,14,12,830,89,5,0.5,0.11,756.841,30.593,643.065,616.315
1,14,13,809,85,5,0.5,0.11,694.54,28.501,595.672,570.602
1,14,14,746,76,4,0.5,0.11,559.315,22.954,489.873,468.551
1,14,15,610,59,1,0.4,0.11,355.707,13.401,311.53,296.528
1,14,16,282,26,0,0.5,0.11,109.425,3.109,59.83,53.746
1,14,17,0,0,-1,0.5,0.11,0,-1,0,0
1,14,18,0,0,-1,0.6,0.11,0,-1,0,0
1,14,19,0,0,0,0.7,0.11,0,0,0,0
1,14,20,0,0,0,0.7,0.11,0,0,0,0
1,14,21,0,0,-1,0.7,0.11,0,-1,0,0
1,14,22,0,0,-1,0.7,0.11,0,-1,0,0
1,14,23,0,0,-1,0.6,0.11,0,-1,0,0
1,15,0,0,0,-1,0.6,0.11,0,-1,0,0
1,15,1,0,0,-2,0.6,0.11,0,-2,0,0
1,15,2,0,0,-2,0.5,0.11,0,-2,0,0
1,15,3,0,0,-3,0.5,0.11,0,-3,0,0
1,15,4,0,0,-3,0.6,0.11,0,-3,0,0
1,15,5,0,0,-2,0.6,0.11,0,-2,0,0
1,15,6,0,0,-2,0.6,0.11,0,-2,0,0
1,15,7,0,0,-1,0.6,0.11,0,0,0,0
1,15,8,0,52,0,0.6,0.11,51.819,1.669,43.94,38.42
1,15,9,57,126,1,0.6,0.11,168.622,6.483,149.512,140.251
1,15,10,38,166,3,0.7,0.11,205.38,9.476,180.223,169.874
1,15,11,398,179,4,0.7,0.11,525.516,20.71,457.377,437.207
1,15,12,550,148,5,0.7,0.11,610.571,24.47,526.888,504.254
1,15,13,106,193,5,0.6,0.11,286.799,14.327,250.248,237.417
1,15,14,664,94,4,0.6,0.11,532.371,21.504,467.652,447.118
1,15,15,49,88,2,0.6,0.11,117.597,5.822,102.337,94.747
